format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,cpu-hw,add,0.0597,16753140539,0.000,1024,1024,5138306,0.3141
fp32,libcft,mul,108.1830,9243597,1.000,1024,1024,2842,0.3148
fp32,mpfr,mul,11.1953,89323105,0.103,1024,1024,27041,0.3100
fp32,mpfr+754,mul,22.4745,44494816,0.208,1024,1024,13437,0.3092
fp32,cpu-hw,mul,0.0588,17010512515,0.001,1024,1024,4194304,0.2525
fp32,libcft,fma,115.6712,8645194,1.000,1024,1024,2705,0.3204
fp32,mpfr,fma,21.4544,46610460,0.185,1024,1024,13819,0.3036
fp32,mpfr+754,fma,38.0955,26249817,0.329,1024,1024,7963,0.3106
fp32,cpu-hw,fma,0.0827,12094055793,0.001,1024,1024,3803864,0.3221
fp32,libcft,div,1970.9911,507359,1.000,1024,1024,156,0.3149
fp32,mpfr,div,16.3772,61060435,0.008,1024,1024,18500,0.3103
fp32,mpfr+754,div,27.4937,36372022,0.014,1024,1024,11133,0.3134
fp32,cpu-hw,div,0.0762,13127487767,0.000,1024,1024,4009986,0.3128
fp32,libcft,sqrt,2434.9966,410678,1.000,1024,1024,126,0.3142
fp32,mpfr,sqrt,10.3984,96168547,0.004,1024,1024,29242,0.3114
fp32,mpfr+754,sqrt,30.9011,32361292,0.013,1024,1024,9892,0.3130
fp32,cpu-hw,sqrt,0.1534,6519518149,0.000,1024,1024,1941785,0.3050
fp32,libcft,add,139.0638,7190944,1.000,4096,4096,560,0.3190
fp32,mpfr,add,11.7735,84936828,0.085,4096,4096,6355,0.3065
fp32,mpfr+754,add,25.2283,39637965,0.181,4096,4096,2920,0.3017
fp32,cpu-hw,add,0.0655,15270880378,0.000,4096,4096,1255672,0.3368
fp32,libcft,mul,108.8798,9184442,1.000,4096,4096,703,0.3135
fp32,mpfr,mul,11.4454,87371446,0.105,4096,4096,6692,0.3137
fp32,mpfr+754,mul,22.1876,45070129,0.204,4096,4096,3509,0.3189
fp32,cpu-hw,mul,0.0685,14602372260,0.001,4096,4096,1111217,0.3117
fp32,libcft,fma,118.5458,8435556,1.000,4096,4096,651,0.3161
fp32,mpfr,fma,28.1410,35535384,0.237,4096,4096,2566,0.2958
fp32,mpfr+754,fma,41.1817,24282618,0.347,4096,4096,1830,0.3087
fp32,cpu-hw,fma,0.0851,11752978796,0.001,4096,4096,899232,0.3134
fp32,libcft,div,1975.1491,506291,1.000,4096,4096,38,0.3074
fp32,mpfr,div,17.7280,56407845,0.009,4096,4096,4096,0.2974
fp32,mpfr+754,div,26.9555,37098206,0.014,4096,4096,2839,0.3135
fp32,cpu-hw,div,0.0774,12920290238,0.000,4096,4096,963448,0.3054
fp32,libcft,sqrt,2425.6631,412258,1.000,4096,4096,31,0.3080
fp32,mpfr,sqrt,15.0084,66629399,0.006,4096,4096,4096,0.2518
fp32,mpfr+754,sqrt,30.8031,32464258,0.013,4096,4096,2507,0.3163
fp32,cpu-hw,sqrt,0.1525,6556720802,0.000,4096,4096,500872,0.3129
fp32,libcft,add,138.3469,7228205,1.000,16384,16384,139,0.3151
fp32,mpfr,add,16.1717,61836365,0.117,16384,16384,1196,0.3169
