format,impl,op,ns_per_elem,elems_per_s,rel_time,agree,n,reps,seconds
fp32,mpfr+754,add,28.0083,35703738,0.093,4096,4096,2729,0.3131
fp32,cpu-hw,add,0.6109,1636981000,0.002,4096,4096,125339,0.3136
fp32,libcft,mul,235.9018,4239051,1.000,4096,4096,326,0.3150
fp32,mpfr,mul,15.2751,65466037,0.065,4096,4096,4096,0.2563
fp32,mpfr+754,mul,21.2267,47110554,0.090,4096,4096,3570,0.3104
fp32,cpu-hw,mul,0.5787,1728103584,0.002,4096,4096,131890,0.3126
fp32,libcft,fma,268.0415,3730765,1.000,4096,4096,286,0.3140
fp32,mpfr,fma,37.5669,26619189,0.140,4096,4096,2037,0.3134
fp32,mpfr+754,fma,44.1387,22655835,0.165,4096,4096,1725,0.3119
fp32,cpu-hw,fma,1.6762,596603165,0.006,4096,4096,45580,0.3129
fp32,libcft,div,4581.2449,218281,1.000,4096,4096,17,0.3190
fp32,mpfr,div,18.5161,54007158,0.004,4096,4096,4093,0.3104
fp32,mpfr+754,div,25.1463,39767219,0.005,4096,4096,3045,0.3136
fp32,cpu-hw,div,0.7055,1417399636,0.000,4096,4096,108379,0.3132
fp32,libcft,sqrt,5425.3244,184321,1.000,4096,4096,15,0.3333
fp32,mpfr,sqrt,24.0522,41576308,0.004,4096,4096,3081,0.3035
fp32,mpfr+754,sqrt,32.9912,30311140,0.006,4096,4096,2317,0.3131
fp32,cpu-hw,sqrt,1.1451,873257334,0.000,4096,4096,66568,0.3122
fp32,libcft,add,299.7731,3335856,1.000,16384,16384,58,0.2849
fp32,mpfr,add,23.5212,42514780,0.078,16384,16384,808,0.3114
fp32,mpfr+754,add,29.5913,33793694,0.099,16384,16384,647,0.3137
fp32,cpu-hw,add,0.6528,1531877153,0.002,16384,16384,29295,0.3133
fp32,libcft,mul,232.5255,4300604,1.000,16384,16384,83,0.3162
fp32,mpfr,mul,18.3477,54502848,0.079,16384,16384,1037,0.3117
fp32,mpfr+754,mul,24.0145,41641438,0.103,16384,16384,778,0.3061
fp32,cpu-hw,mul,0.5829,1715426712,0.003,16384,16384,32848,0.3137
fp32,libcft,fma,267.7628,3734649,1.000,16384,16384,64,0.2808
fp32,mpfr,fma,38.1801,26191650,0.143,16384,16384,499,0.3121
